episode_id,policy_seed,task,disturbance,method,target_budget,success,help_requested,helpful_request,request_step,request_score
0,27,can,nominal,never_help,0.0,True,False,False,,
0,27,can,nominal,always_help,1.0,True,True,False,10.0,
0,27,can,nominal,oracle_value,,True,False,False,,
0,27,can,nominal,value_gate,0.1,True,False,False,,
0,27,can,nominal,value_gate,0.25,True,False,False,,
0,27,can,nominal,value_gate,0.5,True,False,False,,
0,27,can,nominal,value_gate,0.75,True,True,False,30.0,0.6218937039375305
0,27,can,nominal,risk_gate,0.1,True,False,False,,
0,27,can,nominal,risk_gate,0.25,True,False,False,,
0,27,can,nominal,risk_gate,0.5,True,False,False,,
0,27,can,nominal,risk_gate,0.75,True,True,False,10.0,0.5179020762443542
0,27,can,nominal,uncertainty_gate,0.1,True,False,False,,
0,27,can,nominal,uncertainty_gate,0.25,True,False,False,,
0,27,can,nominal,uncertainty_gate,0.5,True,False,False,,
0,27,can,nominal,uncertainty_gate,0.75,True,False,False,,
1,27,can,nominal,never_help,0.0,True,False,False,,
1,27,can,nominal,always_help,1.0,True,True,False,10.0,
1,27,can,nominal,oracle_value,,True,False,False,,
1,27,can,nominal,value_gate,0.1,True,False,False,,
1,27,can,nominal,value_gate,0.25,True,False,False,,
1,27,can,nominal,value_gate,0.5,True,False,False,,
1,27,can,nominal,value_gate,0.75,True,True,False,10.0,0.5481643676757812
1,27,can,nominal,risk_gate,0.1,True,False,False,,
1,27,can,nominal,risk_gate,0.25,True,True,False,10.0,0.8820812106132507
1,27,can,nominal,risk_gate,0.5,True,True,False,10.0,0.8820812106132507
1,27,can,nominal,risk_gate,0.75,True,True,False,10.0,0.8820812106132507
1,27,can,nominal,uncertainty_gate,0.1,True,False,False,,
1,27,can,nominal,uncertainty_gate,0.25,True,False,False,,
1,27,can,nominal,uncertainty_gate,0.5,True,False,False,,
1,27,can,nominal,uncertainty_gate,0.75,True,True,False,50.0,0.021024536341428757
2,27,can,nominal,never_help,0.0,True,False,False,,
2,27,can,nominal,always_help,1.0,True,True,False,10.0,
2,27,can,nominal,oracle_value,,True,False,False,,
2,27,can,nominal,value_gate,0.1,True,False,False,,
2,27,can,nominal,value_gate,0.25,True,False,False,,
2,27,can,nominal,value_gate,0.5,True,False,False,,
2,27,can,nominal,value_gate,0.75,True,True,False,30.0,0.5969071984291077
2,27,can,nominal,risk_gate,0.1,True,False,False,,
2,27,can,nominal,risk_gate,0.25,True,False,False,,
2,27,can,nominal,risk_gate,0.5,True,False,False,,
2,27,can,nominal,risk_gate,0.75,True,False,False,,
2,27,can,nominal,uncertainty_gate,0.1,True,False,False,,
2,27,can,nominal,uncertainty_gate,0.25,True,False,False,,
2,27,can,nominal,uncertainty_gate,0.5,True,False,False,,
2,27,can,nominal,uncertainty_gate,0.75,True,False,False,,
3,27,can,nominal,never_help,0.0,True,False,False,,
3,27,can,nominal,always_help,1.0,True,True,False,10.0,
3,27,can,nominal,oracle_value,,True,False,False,,
3,27,can,nominal,value_gate,0.1,True,False,False,,
3,27,can,nominal,value_gate,0.25,True,False,False,,
3,27,can,nominal,value_gate,0.5,True,False,False,,
3,27,can,nominal,value_gate,0.75,True,False,False,,
3,27,can,nominal,risk_gate,0.1,True,False,False,,
3,27,can,nominal,risk_gate,0.25,True,False,False,,
3,27,can,nominal,risk_gate,0.5,True,False,False,,
3,27,can,nominal,risk_gate,0.75,True,True,False,10.0,0.6330469846725464
3,27,can,nominal,uncertainty_gate,0.1,True,False,False,,
3,27,can,nominal,uncertainty_gate,0.25,True,False,False,,
3,27,can,nominal,uncertainty_gate,0.5,True,False,False,,
3,27,can,nominal,uncertainty_gate,0.75,True,False,False,,
4,27,can,object_shift,never_help,0.0,True,False,False,,
4,27,can,object_shift,always_help,1.0,True,True,False,10.0,
4,27,can,object_shift,oracle_value,,True,False,False,,
4,27,can,object_shift,value_gate,0.1,True,False,False,,
4,27,can,object_shift,value_gate,0.25,True,False,False,,
4,27,can,object_shift,value_gate,0.5,True,False,False,,
4,27,can,object_shift,value_gate,0.75,True,True,False,30.0,0.653854489326477
4,27,can,object_shift,risk_gate,0.1,True,False,False,,
4,27,can,object_shift,risk_gate,0.25,True,False,False,,
4,27,can,object_shift,risk_gate,0.5,True,True,False,10.0,0.7334887981414795
4,27,can,object_shift,risk_gate,0.75,True,True,False,10.0,0.7334887981414795
4,27,can,object_shift,uncertainty_gate,0.1,True,False,False,,
4,27,can,object_shift,uncertainty_gate,0.25,True,False,False,,
4,27,can,object_shift,uncertainty_gate,0.5,True,False,False,,
4,27,can,object_shift,uncertainty_gate,0.75,True,False,False,,
5,27,can,object_shift,never_help,0.0,False,False,False,,
5,27,can,object_shift,always_help,1.0,True,True,True,10.0,
5,27,can,object_shift,oracle_value,,True,True,True,10.0,1.0
5,27,can,object_shift,value_gate,0.1,False,False,False,,
5,27,can,object_shift,value_gate,0.25,False,False,False,,
5,27,can,object_shift,value_gate,0.5,True,True,True,70.0,0.7949260473251343
